J1657-0406B 	* 	7.35 		* 		43.355 		* 	* 	* 	*
J1701-3006A	0.32	5.24157		-13.196(9)	115.03(4)	3.80595	3.483724(8) 0.000004 0.23
J1701-3006B	0.028	3.59385		-34.978(7)	113.44(4)	0.14455	0.252775(13) <0.00007 0.14
J1701-3006C	0.175	7.61285	        -6.378(22)	114.56(7)	0.21500	0.192880(12) <0.00006 0.08
J1701-3006D	0.200	3.41777		12.57(24)	114.224(11)	1.11790	0.9880	0.00045(2) 0.14
J1701-3006E	0.111	3.23374		31.03(27)	113.79(2)	0.15848	0.07016	0.0	0.035
J1701-3006F	0.041	2.294727	22.21(18)	113.29(3)	0.20549	0.0573	0.0	0.024
J1701-3006G	*	4.60810		 *		113.679(7)	0.77443	0.62031	0.000907(28)	0.112
J1701-3006H     *       3.704            *              114.76          *       *       *       *
J1717+4308A 	* 	3.15972 	 6.1131 	35.45 		0.20087	0.39870 0 	0.18
B1718-19 	2.3	1004.04		+1.59(2)*10-15	71.0(2)		0.25827 0.3526	<0.005	0.13
J1721-1936B	*	2.56828		 *		71.4		i	i	i	i
J1735-3028A	*	113.695		 *		382.36		i	i	i	i
J1735-3028B	*	11.1366		 *		380.56		i	i	i	i
J1735-3028C	*	6.03882		 *		378.99		i	i	i	i
J1735-3028D	*	5.38637		 *		380.16		i	i	i	i
J1735-3028E	*	3.07837		 *		378.70		i	i	i	i
J1735-3028F	*	5.21377		 *		382.00		i	i	i	i
J1735-3028G	*	3.91788		 *		382.00		i	i	i	i
J1737-0314A	*	1.97998		9.55		82.10		0.2278	0.0471	0	0.018
J1737-0314B	*	8.52		 *		81.0		*	*	*	*
J1737-0314C	*	8.46		 *		80.0		*	*	*	*
J1737-0314D	*	2.89		 *		78.8		0.7428	0.7548	0	0.142
J1737-0314E	*	2.28		 *		80.4		0.8463	1.1018	0	0.195
J1740-5340  	0.917	3.65033		+16.8(7)	71.8(2)		1.35406	1.65284	<0.0001	0.22 (iv)
J1740-5340B	*	5.78697		-0.6(3)		72.2		1.97726	2.58020	0	0.27
