362;J0751+1807;07:51:09.1;+18:07:38.4;
363;J0753-0816;07:53:33;-08:19:35;
364;J0754+3231;07:54:40.6;+32:31:56.2;
365;J0758-1528;07:58:29.0;-15:28:08.7;
366;J0758-30;07:58;-30;
367;J0802-5613;08:02:24.0;-56:13:02;
368;J0803-0942;08:03:26.8;-09:42:50.8;
369;J0803+34;08:03:05;+34:19;
370;J0804-3647;08:04:22.2;-36:47:35.5;
371;J0806+08;08:06:05;+08:17;
372;J0806-4123;08:06:23.4;-41:22:30.9;
373;J0807-5421;08:07:47.1;-54:21:26.4;
374;J0808-3937;08:08:11.6;-39:37:52.9;
375;J0809-4753;08:09:43.8;-47:53:54.7;
376;J0811+37;08:11:12;+37:28;
377;J0812-3905;08:12:14.8;-39:05:48.9;
378;J0813+22;08:13:54;+22:01;
379;J0814+7429;08:14:59.5;+74:29:05.7;
380;J0815+0939;08:15:08.7;+09:39:50.7;
381;J0815+4611;08:15:59.4;+46:11:53.2;
382;J0818-3049;08:18:49.3;-30:49:31;
383;J0818-3232;08:18:25.9;-32:32:30.5;
384;J0820-1350;08:20:26.3;-13:50:55.8;
385;J0820-3826;08:20:59.9;-38:26:42.9;
386;J0820-3921;08:20:49.1;-39:21:55.7;
387;J0820-4114;08:20:15.4;-41:14:35.2;
388;J0821-4221;08:21:44.6;-42:21:25.4;
389;J0821-4300;08:21:57.3;-43:00:17.0;
390;J0823+0159;08:23:09.7;+01:59:12.4;
391;J0824+0028;08:24:24.8;+00:28:00.5;
392;J0826+2637;08:26:51.5;+26:37:21.2;
393;J0827+53;08:27:48;+53:00;
394;J0828-3417;08:28:16.6;-34:17:07;
395;J0831-4406;08:31:32.4;-44:06:11.9;
396;J0834-4159;08:34:17.8;-41:59:35.9;
397;J0834-60;08:34:50;-60:35;
398;J0835-3707;08:35:03.0;-37:07:51.5;
399;J0835-4510;08:35:20.6;-45:10:34.8;
400;J0836-4233;08:36:05.8;-42:33:24.9;
401;J0837+0610;08:37:05.6;+06:10:14.5;
402;J0837-24;08:37:44;-24:47:48;
403;J0837-4135;08:37:21.1;-41:35:14.5;
404;J0838-2621;08:38:18.8;-26:21:29.5;
405;J0838-3947;08:38:30.8;-39:47:22;
406;J0839-66;08:39:37;-66:34:52;
407;J0840-5332;08:40:33.7;-53:32:35.9;
408;J0842-4851;08:42:05.4;-48:51:20.6;
409;J0843+0719;08:43:33.8;+07:18:47.8;
410;J0843-5022;08:43:09.8;-50:22:43.1;
411;J0843+67;08:43:22.8;+67:13:08;
412;J0846-3533;08:46:06.0;-35:33:41.2;
413;J0847-4316;08:47:57.3;-43:16:56.8;
414;J0848+16;08:48:53;+16:43;
415;J0849-6322;08:49:42.5;-63:22:35.0;
416;J0849+8028;08:49:01.5;+80:28:59.1;
417;J0854+5449;08:54:25.7;+54:49:28.7;
418;J0855-3331;08:55:38.4;-33:31:39.3;
419;J0855-4644;08:55:36.1;-46:44:13.4;
420;J0855-4658;08:55:19.5;-46:58:22.6;
421;J0856-6137;08:56:59.2;-61:37:52.7;
422;J0857+3349;08:57:07.0;+33:49:17.0;
423;J0857-4424;08:57:55.8;-44:24:10.6;
424;J0900-3144;09:00:43.9;-31:44:30.8;
425;J0901-4624;09:01:40.1;-46:24:48.5;
426;J0902-6325;09:02:32.4;-63:25:12.0;
427;J0904-4246;09:04:59.0;-42:46:13.4;
428;J0904-7459;09:04:10.4;-74:59:41.7;
429;J0905-4536;09:05:23.9;-45:36:53.0;
430;J0905-5127;09:05:51.9;-51:27:54.0;
431;J0905-6019;09:05:15.2;-60:19:22.0;
432;J0907-5157;09:07:15.9;-51:57:59.3;
433;J0908-1739;09:08:38.1;-17:39:37.6;
434;J0908-4913;09:08:35.4;-49:13:05.0;
435;J0909-7212;09:09:35.8;-72:12:08.9;
436;J0910+77;09:10;+77:28;
437;J0912-3851;09:12:42.7;-38:51:03;
