Companion Pulsar;source_id;ra;ra_error;dec;dec_error;parallax;parallax_error;pm;pmra;pmra_error;pmdec;pmdec_error;ra_dec_corr;ra_parallax_corr;ra_pmra_corr;matched_transits_removed;rv_method_used;rv_nb_transits;rv_nb_deblended_transits;rv_expected_sig_to_noise;rv_renormalised_gof;rv_chisq_pvalue;rv_time_duration;rv_amplitude_robust;rv_template_teff;rv_template_logg;rv_template_fe_h;rv_atm_param_origin;vbroad;vbroad_error;vbroad_nb_transits;grvs_mag;grvs_mag_error;grvs_mag_nb_transits;rvs_spec_sig_to_noise;phot_variable_flag;l;b;ecl_lon;ecl_lat;in_qso_candidates;in_galaxy_candidates;non_single_star;has_xp_continuous;has_xp_sampled;has_rvs;has_epoch_photometry;has_epoch_rv;has_mcmc_gspphot;has_mcmc_msc;in_andromeda_survey;classprob_dsc_combmod_quasar;classprob_dsc_combmod_galaxy;classprob_dsc_combmod_star;teff_gspphot;teff_gspphot_lower;teff_gspphot_upper;logg_gspphot;logg_gspphot_lower;logg_gspphot_upper;mh_gspphot;mh_gspphot_lower;mh_gspphot_upper;distance_gspphot;distance_gspphot_lower;distance_gspphot_upper;azero_gspphot;azero_gspphot_lower;azero_gspphot_upper;ag_gspphot;ag_gspphot_lower;ag_gspphot_upper;ebpminrp_gspphot;ebpminrp_gspphot_lower;ebpminrp_gspphot_upper;libname_gspphot
J1227-4853;6128369984328414336;186.99465510704707;0.09719011932611465;-48.895196620911825;0.06074601039290428;0.4635009727807662;0.12760405242443085;20.140865325927734;-18.77239526564296;0.10574066638946533;7.297369719202052;0.08832047134637833;0.2805878221988678;-0.448100745677948;-0.391530841588974;0;;;;;;;;;;;;;;;;;;;;NOT_AVAILABLE;298.96538480494416;13.795794613673147;209.76470764702148;-41.26053178639365;False;False;0;False;False;False;False;False;True;True;False;3.260251790759838e-11;2.153322485598519e-11;0.9999720454216003;5038.67724609375;5018.95166015625;5073.13037109375;4.658100128173828;4.535699844360352;4.700500011444092;-1.1013000011444092;-1.2575000524520874;-0.9438999891281128;2093.889892578125;1956.537353515625;2582.92626953125;0.013399999588727951;0.003700000001117587;0.035100001841783524;0.01080000028014183;0.002899999963119626;0.02850000001490116;0.005799999926239252;0.0015999999595806003;0.01549999974668026;MARCS
J1302-6350;5862299960127967488;195.69848851536304;0.008934320881962776;-63.83573123376698;0.009974833577871323;0.44344477764993895;0.013309076428413391;7.1010589599609375;-7.092820662863646;0.011759594082832336;-0.34195092640087815;0.014234627597033978;0.201033353805542;0.074760302901268;-0.19087080657482147;1;;;;;;;;;;;;;;;;;;;;NOT_AVAILABLE;304.18354481654586;-0.9915822428813386;227.69783348742587;-50.896923404737834;False;False;0;True;True;False;False;False;True;True;False;1.2081006195430177e-09;1.2245433556046237e-09;0.9999872446060181;35609.75390625;35604.203125;35613.3515625;3.8433001041412354;3.840399980545044;3.845900058746338;0.0;-0.0003000000142492354;0.00039999998989515007;1956.0606689453125;1944.7772216796875;1970.18505859375;3.457900047302246;3.4572999477386475;3.4586000442504883;3.1263999938964844;3.1259000301361084;3.127000093460083;1.7288000583648682;1.7285000085830688;1.729099988937378;OB
J1417-4402;6096705840454620800;214.37735925120347;0.040026869624853134;-44.04932767896711;0.03322593867778778;0.19737278858599186;0.04710214585065842;6.9811272621154785;-4.763750208392074;0.04322613775730133;-5.103216631918363;0.04729260876774788;0.22753910720348358;-0.4639381468296051;-0.16963915526866913;0;;;;;;;;;;;;;;;;;;;;VARIABLE;318.86122490455944;16.144039568152028;227.56779886256695;-28.45538956970173;False;False;0;True;False;False;True;False;True;True;False;1.0224152525040858e-13;7.939774948617639e-10;0.9999784827232361;5026.02978515625;5003.72412109375;5046.69140625;3.650399923324585;3.616300106048584;3.685699939727783;0.04919999837875366;0.018799999728798866;0.08550000190734863;2540.15234375;2431.259765625;2628.296630859375;0.6855999827384949;0.6660000085830688;0.7045000195503235;0.5379999876022339;0.5221999883651733;0.5534999966621399;0.2854999899864197;0.2768000066280365;0.2939000129699707;MARCS
J1431-4715;6098156298150016768;217.93588660597308;0.08213456720113754;-47.25767551421815;0.10714279860258102;0.5264374882064711;0.12626342475414276;18.724857330322266;-11.82466167772455;0.1348983496427536;-14.51887237227252;0.15022197365760803;-0.3059267997741699;0.03208651766180992;0.1600503921508789;0;;;;;;;;;;;;;;;;;;;;VARIABLE;320.05090760991817;12.25259510181315;231.5828152963215;-30.519916017214953;False;False;0;False;False;False;True;False;True;True;False;1.1461520621480759e-09;2.5391762026316655e-09;0.999927282333374;6268.6767578125;6252.0048828125;6288.96533203125;4.599800109863281;4.577000141143799;4.616600036621094;-0.9873999953269958;-1.034000039100647;-0.8780999779701233;3659.013671875;3578.8095703125;3810.556396484375;0.007000000216066837;0.0017000000225380063;0.017100000753998756;0.006099999882280827;0.00139999995008111;0.014800000004470348;0.0032999999821186066;0.0007999999797903001;0.008100000210106373;MARCS
J1514-4946;5902197045194695040;228.5788881848681;0.2460261434316635;-49.77059356679007;0.22709621489048004;0.8428175289524266;0.3536173105239868;0.8818418383598328;-0.3018293091891918;0.3628370761871338;-0.8285795561098208;0.3417317271232605;-0.15564821660518646;0.11643001437187195;0.11668175458908081;0;;;;;;;;;;;;;;;;;;;;NOT_AVAILABLE;325.24919251107343;6.80803516320948;240.26421463726055;-30.518804765241065;False;False;0;False;False;False;False;False;False;False;False;1.0684010777863365e-13;5.917495768566206e-13;0.9999949932098389;;;;;;;;;;;;;;;;;;;;;;
J1536-4948;5985598266373074048;234.09690824299983;0.030870208516716957;-49.815358671382924;0.02802591398358345;0.07914602889891219;0.04110070690512657;8.7705078125;-7.4752752989006765;0.04460655897855759;-4.587162448230824;0.0423705019056797;-0.28541797399520874;-0.02780027873814106;-0.14055326581001282;0;;;;;;;;;;;;;;;;;;;;NOT_AVAILABLE;328.198364986722;4.788779431298208;244.21982480140593;-29.539616614411255;False;False;0;True;False;False;False;False;True;True;False;1.020452846571887e-13;5.097330435348268e-13;0.9999977350234985;5318.34716796875;5299.9267578125;5335.95849609375;3.291599988937378;3.2797999382019043;3.3010001182556152;-0.1298999935388565;-0.13019999861717224;-0.12939999997615814;3786.417236328125;3753.943115234375;3828.89208984375;2.1561999320983887;2.142899990081787;2.1684000492095947;1.642799973487854;1.631500005722046;1.6532000303268433;0.88919997215271;0.8824999928474426;0.8950999975204468;MARCS
J1536-4948;5985598335050438912;234.09630556932336;0.91511070728302;-49.814636318807324;0.7503845691680908;1.148504070120231;1.112518072128296;7.556149959564209;-5.768708718797793;1.1618387699127197;-4.880307221141653;1.2913296222686768;-0.37552550435066223;0.4800422489643097;-0.11561137437820435;0;;;;;;;;;;;;;;;;;;;;NOT_AVAILABLE;328.1984762876941;4.789592277672111;244.21917157884866;-29.53902497369096;False;False;0;False;False;False;False;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;
J1543-5149;5886130706451776256;235.9342211546353;0.23279526829719543;-51.83190850758728;0.190414160490036;-0.017828687607129114;0.282623827457428;4.200063228607178;-3.2709659300363647;0.32049423456192017;-2.6346374316668673;0.2861006259918213;-0.20947255194187164;0.08668267726898193;-0.0284302718937397;0;;;;;;;;;;;;;;;;;;;;NOT_AVAILABLE;327.9206170138094;2.4788189853238665;246.13462044007738;-31.177694347211872;False;False;0;False;False;False;False;False;False;False;False;1.9391913422261986e-11;5.796576760253025e-11;0.9999973177909851;;;;;;;;;;;;;;;;;;;;;;
J1543-5149;5886130706408287232;235.93423250333768;0.5328251123428345;-51.831437163466845;0.4423123300075531;-0.12430841620170009;0.6564819812774658;7.408666610717773;-3.663844631124909;0.7608271837234497;-6.439299799380983;0.7051598429679871;-0.22239743173122406;0.05506806820631027;0.2042129933834076;0;;;;;;;;;;;;;;;;;;;;NOT_AVAILABLE;327.9209096138964;2.4791887958511603;246.13448488192458;-31.177237440998205;False;False;0;False;False;False;False;False;False;False;False;;;;;;;;;;;;;;;;;;;;;;;;;
J1623-2631;6045465849821693824;245.90890553103034;0.22823579609394073;-26.53125194953142;0.14067162573337555;-1.147805850389133;0.24015426635742188;25.118873596191406;-12.886365415563752;0.3042928874492645;-21.561524978051665;0.223565474152565;-0.4569902718067169;-0.08038988709449768;0.25323301553726196;0;;;;;;;;;;;;;;;;;;;;NOT_AVAILABLE;350.9763052298807;15.960434212277391;248.49841984174634;-4.872430071518373;False;False;0;True;False;False;False;False;False;True;False;1.0203095963598474e-13;6.776848238132516e-08;0.9999991655349731;6155.15087890625;6038.88818359375;6231.900390625;3.735300064086914;3.6910998821258545;3.7880001068115234;-1.8797999620437622;-1.9812999963760376;-1.7293000221252441;1902.869140625;1730.5577392578125;2021.0400390625;1.7240999937057495;1.6562999486923218;1.7691999673843384;1.3941999673843384;1.3358999490737915;1.4329999685287476;0.7721999883651733;0.7402999997138977;0.7929999828338623;PHOENIX
