#;PSRJ;;RAJ;;;DECJ;;;PMRA;;;PMDEC;;;POSEPOCH;;BINARY;;BINCOMP;;
;;;(hms);;;(dms);;;(mas/yr);;;(mas/yr);;;(MJD);;(type);;;;
51;J0048+3412;dtws85;00:48:33.98;2.1e-02;hlk+04;+34:12:08.0;3.7e-01;hlk+04;*;0;*;*;0;*;49875.00;hlk+04;*;*;*;*;
52;J0050+03;dsm+16;00:50:31;1.1e+02;dsm+16;+03:48;8.0e+00;dsm+16;*;0;*;*;0;*;57022.00;*;*;*;*;*;
53;J0051+0423;snt97;00:51:30.1;2.0e-01;snt97;+04:22:49;6.0e+00;snt97;*;0;*;*;0;*;49800.00;*;*;*;*;*;
54;J0052-72;tsm+19;00:52:28;9.5e+01;tsm+19;-72:05;7.0e+00;tsm+19;*;0;*;*;0;*;58008.54;*;*;*;*;*;
55;J0054+66;hrk+08;00:54;0;hrk+08;+66;0;hrk+08;*;0;*;*;0;*;54100.00;*;*;*;*;*;
56;J0054+69;kkl+15;00:54:28;2.5e+01;kkl+15;+69:26;2.0e+00;kkl+15;*;0;*;*;0;*;*;*;*;*;*;*;
57;J0054+6946;slr+14;00:54:59.116;6.8e-03;lsk+18;+69:46:16.85;3.5e-02;lsk+18;*;0;*;*;0;*;56500.00;*;*;*;*;*;
58;J0055+5117;dtws85;00:55:45.3981;1.0e-04;dgb+19;+51:17:24.601;1.0e-03;dgb+19;10.47;7.0e-02;dgb+19;-17.4;1.0e-01;dgb+19;56000.00;dgb+19;*;*;*;*;
59;J0056+4756;dtws85;00:56:25.51;1.9e-02;hlk+04;+47:56:10.5;2.3e-01;hlk+04;*;0;*;*;0;*;49872.00;hlk+04;*;*;*;*;
60;J0057-7201;ckm+01;00:57:44.0;4.0e-01;ckm+01;-72:01:19;2.0e+00;ckm+01;*;0;*;*;0;*;51213.00;*;*;*;*;*;
61;J0058+4950;slr+14;00:58:09.98;2.7e-02;lsk+18;+49:50:26.0;2.3e-01;lsk+18;*;0;*;*;0;*;56500.00;*;*;*;*;*;
62;J0058+6125;hrk+08;00:58;0;hrk+08;+61:25;0;hrk+08;*;0;*;*;0;*;54100.00;*;*;*;*;*;
63;J0058-7218;met+21;00:58:16.7;2.0e-01;ofb+11;-72:18:06;1.0e+00;ofb+11;*;0;*;*;0;*;58924.00;*;*;*;*;*;
64;J0059+69;scb+19;00:59:30;3.6e+01;scb+19;+69:55;3.0e+00;scb+19;*;0;*;*;0;*;*;*;*;*;*;*;
65;J0100-7211;lfmp02;01:00:43.03;1.1e-01;mgr+05;-72:11:33.6;5.0e-01;mgr+05;*;0;*;*;0;*;53032.00;*;*;*;*;*;
66;J0100+8023;scb+19;01:00:16.09;1.0e-02;tbc+20;+80:23:41.75;3.0e-02;tbc+20;*;0;*;*;0;*;56676.00;*;*;*;*;*;
67;J0101-6422;kcj+12;01:01:11.1163;2.0e-04;kcj+12;-64:22:30.171;2.0e-03;kcj+12;10;1.0e+00;kcj+12;-12;2.0e+00;kcj+12;55520.00;*;BT;kcj+12;He[kcj+12];*;
68;J0102+4839;hrm+11;01:02:50.668;3.0e-03;aab+22;+48:39:42.76;4.0e-02;aab+22;*;0;*;*;0;*;55196.00;*;BT;hrm+11;He[hrm+11];*;
69;J0102+6537;dbtb82;01:02:32.9914;1.0e-04;dgb+19;+65:37:13.416;1.0e-03;dgb+19;9.24;7.0e-02;dgb+19;1.77;1.5e-01;dgb+19;56000.00;dgb+19;*;*;*;*;
70;J0103+54;kkl+15;01:03:37;2.0e+01;kkl+15;+54:02;5.0e+00;kkl+15;*;0;*;*;0;*;56657.00;*;*;*;*;*;
71;J0104+64;mss+20;01:04;0.0e+00;mss+20;+64;0;mss+20;*;0;*;*;0;*;*;*;*;*;*;*;
72;J0106+4855;pga+12;01:06:25.06;1.0e-02;pga+12;+48:55:51.8;2.0e-01;pga+12;*;0;*;*;0;*;55225.00;*;*;*;*;*;
73;J0107+1322;scb+19;01:07:39.95;2.0e-02;tbc+20;+13:22:31.7;8.0e-01;tbc+20;*;0;*;*;0;*;57972.00;*;*;*;*;*;
74;J0108-1431;tnj+94;01:08:08.347016;8.8e-05;dtbr09;-14:31:50.1871;1.1e-03;dtbr09;75.1;2.3e+00;dtbr09;-152.5;1.7e+00;dtbr09;54100.0;dtbr09;*;*;*;*;
75;J0108+6608;dls72;01:08:22.5049;3.0e-04;dgb+19;+66:08:34.499;1.0e-03;dgb+19;-32.75;3.0e-02;dgb+19;35.15;4.0e-02;dgb+19;56000.00;dgb+19;*;*;*;*;
76;J0108+6905;dtws85;01:08:29.50;2.0e-02;hlk+04;+69:05:52.63;1.1e-01;hlk+04;*;0;*;*;0;*;49875.00;hlk+04;*;*;*;*;
77;J0109+11;tkt22;01:09;4.0e+00;tkt22;+11:32;1.5e+01;tkt22;*;0;*;*;0;*;*;*;*;*;*;*;
78;J0110-22;mss+20;01:10;0.0e+00;mss+20;-22;0.0e+00;mss+20;*;0;*;*;0;*;*;*;*;*;*;*;
79;J0111+6624;slr+14;01:11:21.87;1.2e-01;lsk+18;+66:24:10.8;6.1e-01;lsk+18;*;0;*;*;0;*;56500.00;*;*;*;*;*;
80;J0111-7131;mfl+06;01:11:28.77;9.0e-02;mfl+06;-71:31:46.8;6.0e-01;mfl+06;*;0;*;*;0;*;52369.00;*;*;*;*;*;
81;J0113-7220;ckm+01;01:13:11.09;3.0e-02;ckm+01;-72:20:32.20;1.5e-01;ckm+01;*;0;*;*;0;*;51212.00;*;*;*;*;*;
82;J0115+6325;scb+19;01:15:45.87;1.0e-02;mbc+20;+63:25:50.8;1.0e-01;mbc+20;*;0;*;*;0;*;57876;mbc+20;*;*;*;*;
83;J0117+5914;stwd85;01:17:38.661;2.6e-03;hlk+04;+59:14:38.39;2.3e-02;hlk+04;-3;5.3e+00;*;18;5.7e+00;*;49751.00;hlk+04;*;*;*;*;
84;J0121+53;gac+21;01:21;1.1e+01;gac+21;+53:29;1.6e+01;gac+21;*;0;*;*;0;*;*;*;*;*;*;*;
85;J0122+1416;ttk+17;01:22:01.31;3.0e-02;mbc+20;+14:16:17;1.0e+00;mbc+20;*;0;*;*;0;*;57876;mbc+20;*;*;*;*;
86;J0125-2327;mbc+19;01:25:10;0;mbc+19;-23:27:26;0;mbc+19;*;0;*;*;0;*;55561.00;*;*;*;*;*;
87;J0125+62;slr+14;01:26;3.0e+00;slr+14;+62:35;1.8e+01;slr+14;*;0;*;*;0;*;56292.00;*;*;*;*;*;
88;J0131-7310;mfl+06;01:31:28.51;3.0e-02;mfl+06;-73:10:09.34;1.3e-01;mfl+06;*;0;*;*;0;*;52335.00;*;*;*;*;*;
89;J0133-6957;lml+98;01:33:32.46;1.0e-02;dsb+98;-69:57:29.68;3.0e-02;dsb+98;*;0;*;*;0;*;49980.20;*;*;*;*;*;
90;J0134-2937;mld+96;01:34:18.6824;3.0e-04;lwy+16;-29:37:17.042;7.0e-03;lwy+16;17;1.0e+00;jbv+19;-9;2.0e+00;jbv+19;54428;lwy+16;*;*;*;*;
91;J0137+1654;lxf+05;01:37:23.88;1.0e-02;lxf+05;+16:54:42.1;4.0e-01;lxf+05;*;0;*;*;0;*;52225.00;*;*;*;*;*;
92;J0137+6349;slr+14;01:37:13.365;1.7e-02;lsk+18;+63:49:34.35;1.1e-01;lsk+18;*;0;*;*;0;*;56500.00;*;*;*;*;*;
93;J0139+3336;ttm+18;01:39:57.23;4.0e-02;mbc+20;+33:36:59.7;9.0e-01;mbc+20;*;0;*;*;0;*;57901;mbc+20;*;*;*;*;
94;J0139+5621;cvh+14;01:39:38.56;2.0e-02;cvh+14;+56:21:36.8;4.0e-01;cvh+14;*;0;*;*;0;*;56000.00;*;*;*;*;*;
95;J0139+5814;dth78;01:39:19.7401;1.2e-03;cbv+09;+58:14:31.819;1.7e-02;cbv+09;-19.11;7.0e-02;cbv+09;-16.60;7.0e-02;cbv+09;52275;cbv+09;*;*;*;*;
96;J0141+6009;mth72;01:41:39.938;7.6e-03;hlk+04;+60:09:32.30;6.7e-02;hlk+04;*;0;*;*;0;*;49293.00;hlk+04;*;*;*;*;
97;J0141+63;slr+14;01:41;2.0e+00;slr+14;+63:08;8.0e+00;slr+14;*;0;*;*;0;*;56292.00;*;*;*;*;*;
98;J0146+31;ttol16;01:46:15;4.0e+01;ttol16;+31:04;1.0e+01;ttol16;*;0;*;*;0;*;57022.00;*;*;*;*;*;
99;J0146+6145;ims94;01:46:22.42;1.0e-01;pkw+03;+61:45:02.8;7.0e-01;pkw+03;-4.1;1.0e+00;tck13;1.9;1.0e+00;tck13;49031;pkw+03;*;*;*;*;
100;J0147+5922;stwd85;01:47:44.6434;1.0e-04;dgb+19;+59:22:03.284;1.0e-03;dgb+19;-6.39;9.0e-02;dgb+19;3.80;8.0e-02;dgb+19;56000.00;dgb+19;*;*;*;*;
101;J0151-0635;mlt+78;01:51:22.7179;2.0e-04;dgb+19;-06:35:02.987;2.0e-03;dgb+19;10.7;1.0e-01;dgb+19;-5.38;7.0e-02;dgb+19;56000.00;dgb+19;*;*;*;*;
102;J0152+0948;clm+05;01:52:23.73;5.0e-02;clm+05;+09:48:10;2.0e+00;clm+05;*;0;*;*;0;*;52858.00;*;*;*;*;*;
103;J0152-1637;mlt+78;01:52:10.8539;1.0e-04;dgb+19;-16:37:53.641;2.0e-03;dgb+19;0.8;2.0e-01;dgb+19;-31.3;4.0e-01;dgb+19;56000.00;dgb+19;*;*;*;*;
104;J0154+1833;mgf+19;01:54:36.88273;3.0e-05;mgf+19;+18:33:50.758;9.0e-03;mgf+19;10.3;9.0e-01;mgf+19;-8.9;1.9e+00;mgf+19;56900.00;*;*;*;*;*;
105;J0156+04;dsm+16;01:56:01;1.1e+02;dsm+16;+04:02;8.0e+00;dsm+16;*;0;*;*;0;*;*;*;*;*;*;*;
