#;PSRJ;;RAJ;;;DECJ;;;PMRA;;;PMDEC;;;POSEPOCH;;BINARY;;BINCOMP;;
;;;(hms);;;(dms);;;(mas/yr);;;(mas/yr);;;(MJD);;(type);;;;
2558;J1903+0135;dls73;19:03:29.986;1.0e-03;jbv+19;+01:35:38.53;4.0e-02;jbv+19;3;7.0e+00;lwy+16;-13;1.4e+01;lwy+16;57600;jbv+19;*;*;*;*;
2559;J1903-0258;lfl+06;19:03:30.343;1.1e-02;lfl+06;-02:58:15.6;7.0e-01;lfl+06;*;0;*;*;0;*;53095.00;*;*;*;*;*;
2560;J1903+0327;crl+08;19:03:05.793213;1.0e-05;fbw+11;+03:27:19.20911;6.0e-05;fbw+11;-2.06;7.0e-02;fbw+11;-5.21;1.2e-01;fbw+11;55000;fbw+11;DD;fbw+11;MS[fbw+11];*;
2561;J1903+0415;lbh+15;19:03:28.321;1.7e-02;psf+22;+04:15:07.6;6.0e-01;psf+22;*;0;*;*;0;*;57450.00;*;*;*;*;*;
2562;J1903+0433g;hww+21;19:03:19;6.0e+00;hww+21;+04:33;2.0e+00;hww+21;*;0;*;*;0;*;*;*;*;*;*;*;
2563;J1903+0534g;hww+21;19:03:29;6.0e+00;hww+21;+05:34;2.0e+00;hww+21;*;0;*;*;0;*;*;*;*;*;*;*;
2564;J1903+0601;hfs+04;19:03:20.874;1.6e-02;hfs+04;+06:01:34.0;6.0e-01;hfs+04;*;0;*;*;0;*;52146.00;*;*;*;*;*;
2565;J1903-0632;dls72;19:03:37.934;2.0e-03;lbs+20;-06:32:21.52;9.0e-02;lbs+20;*;0;*;*;0;*;57600;lbs+20;*;*;*;*;
2566;J1903+0654;lsb+17;19:03:55.28;5.0e-02;lsb+17;+06:54:39.4;1.6e+00;lsb+17;*;0;*;*;0;*;56700.00;*;*;*;*;*;
2567;J1903+0839g;hww+21;19:03:52;6.0e+00;hww+21;+08:39;2.0e+00;hww+21;*;0;*;*;0;*;*;*;*;*;*;*;
2568;J1903+0845g;hww+21;19:03:36;6.0e+00;hww+21;+08:45;2.0e+00;hww+21;*;0;*;*;0;*;*;*;*;*;*;*;
2569;J1903-0848;blr+13;19:03:11.271;1.8e-02;blr+13;-08:48:57.4;8.0e-01;blr+13;*;0;*;*;0;*;54987.00;*;*;*;*;*;
2570;J1903+0851g;hww+21;19:03:04;6.0e+00;hww+21;+08:51;2.0e+00;hww+21;*;0;*;*;0;*;*;*;*;*;*;*;
2571;J1903+0912;psf+22;19:03:42.101;5.0e-03;psf+22;+09:12:41.69;1.6e-01;psf+22;*;0;*;*;0;*;57605.00;*;*;*;*;*;
2572;J1903+0925;lfl+06;19:03:55.18;2.0e-01;lfl+06;+09:25:55;6.0e+00;lfl+06;*;0;*;*;0;*;53396.00;*;*;*;*;*;
2573;J1903+2225;nft95;19:03:52.95;2.0e-02;cn95;+22:25:12.3;3.0e-01;cn95;*;0;*;*;0;*;49079.50;*;*;*;*;*;
2574;J1903-7051;ckr+15;19:03:38.7935;3.0e-04;ckr+15;-70:51:43.461;2.0e-03;ckr+15;-8.8;1.6e+00;ckr+15;-16;2.0e+00;ckr+15;56526.00;*;ELL1;ckr+15;He[kcj+12];*;
2575;J1904+0004;mld+96;19:04:12.7180;1.5e-03;lwy+16;+00:04:05.29;4.0e-02;lwy+16;8;9.0e+00;lwy+16;-7;1.6e+01;lwy+16;54377;lwy+16;*;*;*;*;
2576;J1904+0056;psf+22;19:04:07.06;3.0e-02;psf+22;+00:56:59;1.0e+00;psf+22;*;0;*;*;0;*;58677.00;*;*;*;*;*;
2577;J1904-0150;lfl+06;19:04:55.555;1.0e-02;lfl+06;-01:50:32.5;5.0e-01;lfl+06;*;0;*;*;0;*;53107.00;*;*;*;*;*;
2578;J1904+0207g;hww+21;19:04:44;6.0e+00;hww+21;+02:07;2.0e+00;hww+21;*;0;*;*;0;*;*;*;*;*;*;*;
2579;J1904+0358g;hww+21;19:04:22;6.0e+00;hww+21;+03:58;2.0e+00;hww+21;*;0;*;*;0;*;*;*;*;*;*;*;
2580;J1904+0412;clm+01;19:04:31.382;4.0e-03;clm+01;+04:12:05.9;1.0e-01;clm+01;*;0;*;*;0;*;51450.00;*;BT;clm+01;He[clm+01];*;
2581;J1904+0415g;hww+21;19:04:06;6.0e+00;hww+21;+04:15;2.0e+00;hww+21;*;0;*;*;0;*;*;*;*;*;*;*;
2582;J1904+0451;skl+15;19:04:59.3848;2.0e-04;skl+15;+04:51:54.953;8.0e-03;skl+15;*;0;*;*;0;*;56242.00;*;*;*;*;*;
2583;J1904+0519g;hww+21;19:04:08;6.0e+00;hww+21;+05:19;2.0e+00;hww+21;*;0;*;*;0;*;*;*;*;*;*;*;
2584;J1904+0535g;hww+21;19:04:52;6.0e+00;hww+21;+05:35;2.0e+00;hww+21;*;0;*;*;0;*;*;*;*;*;*;*;
2585;J1904+0553g;hww+21;19:04:17;6.0e+00;hww+21;+05:53;2.0e+00;hww+21;*;0;*;*;0;*;*;*;*;*;*;*;
2586;J1904+0603g;hww+21;19:04:52;6.0e+00;hww+21;+06:03;2.0e+00;hww+21;*;0;*;*;0;*;*;*;*;*;*;*;
2587;J1904+0738;cfl+06;19:04:07.533;1.0e-03;nab+13;+07:38:51.69;4.0e-02;nab+13;*;0;*;*;0;*;54760.00;*;*;*;*;*;
2588;J1904+0800;kbm+03;19:04:03.50;2.0e-02;kbm+03;+08:00:52.6;9.0e-01;kbm+03;*;0;*;*;0;*;51911.00;*;*;*;*;*;
2589;J1904+0823g;hww+21;19:04:44;6.0e+00;hww+21;+08:23;2.0e+00;hww+21;*;0;*;*;0;*;*;*;*;*;*;*;
2590;J1904+0836g;hww+21;19:04:35;6.0e+00;hww+21;+08:36;2.0e+00;hww+21;*;0;*;*;0;*;*;*;*;*;*;*;
2591;J1904+0852g;hww+21;19:04:55;6.0e+00;hww+21;+08:52;2.0e+00;hww+21;*;0;*;*;0;*;*;*;*;*;*;*;
2592;J1904+1011;ht75b;19:04:02.49;2.0e-02;lcx02;+10:11:34.6;5.0e-01;lcx02;*;0;*;*;0;*;51600.00;*;*;*;*;*;
2593;J1904-11;trr+21;19:04:34;0;aab+22;-11:30:34;0;aab+22;*;0;*;*;0;*;*;*;*;*;*;*;
2594;J1904-1224;lml+98;19:04:33.281;1.3e-02;hlk+04;-12:24:01.3;1.1e+00;hlk+04;*;0;*;*;0;*;51037.00;hlk+04;*;*;*;*;
2595;J1904-1629;bbb+12;19:04:51.37;3.0e-02;bsb+19;-16:29:19;3.0e+00;bsb+19;*;0;*;*;0;*;57039.00;*;*;*;*;*;
2596;J1904+33;mss+20;19:04;0.0e+00;mss+20;+33;0.0e+00;mss+20;*;0;*;*;0;*;*;*;*;*;*;*;
2597;J1905-0056;stwd85;19:05:27.752;6.0e-03;lbs+20;-00:56:40.8;3.0e-01;lbs+20;*;0;*;*;0;*;57600;lbs+20;*;*;*;*;
2598;J1905+0154A;hrs+07;19:05:15.4;4.0e-01;hrs+07;+01:54:33;2.2e+01;hrs+07;-2.829;2.8e-02;vb21;-6.006;2.7e-02;vb21;53735.00;*;ELL1;hrs+07;He(?)[hrs+07];*;
2599;J1905+0400;hfs+04;19:05:28.273436;1.6e-05;gsf+11;+04:00:10.8830;6.0e-04;gsf+11;-3.80;1.8e-01;gsf+11;-7.3;4.0e-01;gsf+11;53700.00;*;*;*;*;*;
2600;J1905+0414;pab+18;19:05;0;pab+18;+04:14;0;pab+18;*;0;*;*;0;*;*;*;*;*;*;*;
2601;J1905+0450g;hww+21;19:05:59;6.0e+00;hww+21;+04:50;2.0e+00;hww+21;*;0;*;*;0;*;*;*;*;*;*;*;
2602;J1905+0600;hfs+04;19:05:04.35;5.0e-02;hfs+04;+06:00:59.9;1.4e+00;hfs+04;*;0;*;*;0;*;52048.00;*;*;*;*;*;
2603;J1905+0616;lxf+05;19:05:06.849;5.0e-03;lxf+05;+06:16:16.7;1.0e-01;lxf+05;*;0;*;*;0;*;51631.00;*;*;*;*;*;
2604;J1905+0656g;hww+21;19:05:45;6.0e+00;hww+21;+06:56;2.0e+00;hww+21;*;0;*;*;0;*;*;*;*;*;*;*;
2605;J1905+0709;cl86;19:05:53.62;2.2e-02;hlk+04;+07:09:19.4;6.1e-01;hlk+04;*;0;*;*;0;*;49466.00;hlk+04;*;*;*;*;
2606;J1905+0758g;hww+21;19:05:48;6.0e+00;hww+21;+07:58;2.0e+00;hww+21;*;0;*;*;0;*;*;*;*;*;*;*;
2607;J1905+0902;cfl+06;19:05:19.535;2.0e-03;nab+13;+09:02:32.49;8.0e-02;nab+13;*;0;*;*;0;*;54570.00;*;*;*;*;*;
2608;J1905+0920g;hww+21;19:05:09;6.0e+00;hww+21;+09:20;2.0e+00;hww+21;*;0;*;*;0;*;*;*;*;*;*;*;
2609;J1905+0936g;hww+21;19:05:25;6.0e+00;hww+21;+09:36;2.0e+00;hww+21;*;0;*;*;0;*;*;*;*;*;*;*;
2610;J1905+1034;psf+22;19:05:20.625;1.4e-02;psf+22;+10:34:27.7;4.0e-01;psf+22;*;0;*;*;0;*;57737.00;*;*;*;*;*;
2611;J1906+0055;lbh+15;19:06:48.68051;4.0e-05;sab+16;+00:55:07.886;1.0e-03;sab+16;*;0;*;*;0;*;56408.00;*;ELL1;sab+16;He[sab+16];*;
2612;J1906+0414;lfl+06;19:06:57.793;7.0e-03;lfl+06;+04:14:29.44;1.3e-01;lfl+06;*;0;*;*;0;*;53677.00;*;*;*;*;*;
2613;J1906+0454;pkr+19;19:06:47.13970;7.0e-05;pkr+19;+04:54:09.042;2.0e-03;pkr+19;-6;1.0e+00;pkr+19;-14;3.0e+00;pkr+19;58100.0;pkr+19;ELL1;pkr+19;He[pkr+19];*;
2614;J1906+0509;lsb+17;19:06:56.497;1.6e-02;lsb+17;+05:09:35.6;6.0e-01;lsb+17;*;0;*;*;0;*;56406.00;*;*;*;*;*;
2615;J1906+0641;cl86;19:06:35.244;2.7e-03;hlk+04;+06:41:02.90;1.1e-01;hlk+04;-6;6.1e+00;*;-2;1.1e+01;*;49613.00;hlk+04;*;*;*;*;
2616;J1906+0646g;hww+21;19:06:15;6.0e+00;hww+21;+06:46;2.0e+00;hww+21;*;0;*;*;0;*;*;*;*;*;*;*;
2617;J1906+0649;hfs+04;19:06:11.97;3.0e-02;hfs+04;+06:49:48.1;1.0e+00;hfs+04;*;0;*;*;0;*;52317.00;*;*;*;*;*;
2618;J1906+0722;cpw+15;19:06:31.20;1.0e-02;cpw+15;+07:22:55.8;4.0e-01;cpw+15;*;0;*;*;0;*;55716.00;*;*;*;*;*;
2619;J1906+0724;lbh+15;19:06:22.577;1.8e-02;psf+22;+07:24:22.8;6.0e-01;psf+22;*;0;*;*;0;*;57080.00;*;*;*;*;*;
2620;J1906+0746;lsf+06;19:06:48.86;4.0e-02;vks+15;+07:46:25.9;7.0e-01;vks+15;*;0;*;*;0;*;54289.00;*;DD;vks+15;NS(?)[vks+15];*;
2621;J1906+0757g;hww+21;19:06:40;6.0e+00;hww+21;+07:57;2.0e+00;hww+21;*;0;*;*;0;*;*;*;*;*;*;*;
2622;J1906+0822g;hww+21;19:06:38;6.0e+00;hww+21;+08:22;2.0e+00;hww+21;*;0;*;*;0;*;*;*;*;*;*;*;
2623;J1906+0912;mhl+02;19:06:28.46;3.0e-02;mhl+02;+09:12:56.6;1.5e+00;mhl+02;*;0;*;*;0;*;51360.00;*;*;*;*;*;
2624;J1906+1854;nft95;19:06:44.71;2.0e-02;cn95;+18:54:08.5;4.0e-01;cn95;*;0;*;*;0;*;49079.50;*;*;*;*;*;
2625;J1907+0249;hfs+04;19:07:42.03;4.0e-02;hfs+04;+02:49:41;3.0e+00;hfs+04;*;0;*;*;0;*;52554.00;*;*;*;*;*;
2626;J1907+0255;lbh+15;19:07:17.90;4.0e-02;lsb+17;+02:55:02.7;1.0e+00;lsb+17;*;0;*;*;0;*;56700.00;*;*;*;*;*;
2627;J1907+0345;hfs+04;19:07:14.543;1.9e-02;hfs+04;+03:45:10.6;4.0e-01;hfs+04;*;0;*;*;0;*;51999.00;*;*;*;*;*;
2628;J1907+0534;mhl+02;19:07:23.34;2.0e-01;mhl+02;+05:34:53;1.4e+01;mhl+02;*;0;*;*;0;*;51719.00;*;*;*;*;*;
2629;J1907+0602;aaa+09c;19:07:54.74;1.0e-02;rkp+11;+06:02:16.9;3.0e-01;rkp+11;*;0;*;*;0;*;54935.00;*;*;*;*;*;
2630;J1907+0631;lsb+17;19:07:03.816;1.7e-02;lsb+17;+06:31:18.9;6.0e-01;lsb+17;*;0;*;*;0;*;56985.00;*;*;*;*;*;
2631;J1907+0658g;hww+21;19:07:34;6.0e+00;hww+21;+06:58;2.0e+00;hww+21;*;0;*;*;0;*;*;*;*;*;*;*;
2632;J1907+0709g;hww+21;19:07:57;6.0e+00;hww+21;+07:09;2.0e+00;hww+21;*;0;*;*;0;*;*;*;*;*;*;*;
2633;J1907+0731;hfs+04;19:07:54.79;3.0e-02;hfs+04;+07:31:21.9;5.0e-01;hfs+04;*;0;*;*;0;*;52352.00;*;*;*;*;*;
2634;J1907+0740;mhl+02;19:07:44.118;1.3e-02;mhl+02;+07:40:22.6;9.0e-01;mhl+02;*;0;*;*;0;*;51354.00;*;*;*;*;*;
2635;J1907+0833;psf+22;19:07:57.044;3.0e-03;psf+22;+08:33:59.99;7.0e-02;psf+22;*;0;*;*;0;*;56161.00;*;*;*;*;*;
2636;J1907+0859;lsb+17;19:07:01.913;1.0e-02;lsb+17;+08:59:43.8;4.0e-01;lsb+17;*;0;*;*;0;*;56700.00;*;*;*;*;*;
2637;J1907+0918;lx00;19:07:22.441;4.0e-03;lx00;+09:18:30.76;4.0e-02;lx00;*;0;*;*;0;*;51319.00;*;*;*;*;*;
2638;J1907+0919;ksh+99;19:07:14.33;1.0e-02;fkb99;+09:19:20.1;2.0e-01;fkb99;0.6;2.0e-01;tck12;4.2;4.0e-01;tck12;51052;fkb99;*;*;*;*;
2639;J1907+1149;lfl+06;19:07:37.78;6.0e-02;lfl+06;+11:49:37.1;1.7e+00;lfl+06;*;0;*;*;0;*;53445.00;*;*;*;*;*;
2640;J1907+1247;ht75b;19:07:10.70;2.0e-02;lcx02;+12:47:35.9;5.0e-01;lcx02;*;0;*;*;0;*;51600.00;*;*;*;*;*;
2641;J1907-1532;bbb+12;19:07:06.78;1.0e-02;bbb+12;-15:32:14.9;8.0e-01;bbb+12;*;0;*;*;0;*;55424.00;*;*;*;*;*;
2642;J1907+4002;dth78;19:07:34.656;8.0e-03;hlk+04;+40:02:05.71;1.1e-01;hlk+04;11;4.0e+00;hla93;11;1.0e+00;hla93;48713.00;hlk+04;*;*;*;*;
2643;J1907+57;mss+20;19:07;0;mss+20;+57;0;mss+20;*;0;*;*;0;*;*;*;*;*;*;*;
2644;J1908+0128;mzl+23;19:08:18.80366;1.2e-04;mzl+23;+01:28:22.714;2.0e-03;mzl+23;*;0;*;*;0;*;59055.15;*;ELL1;mzl+23;He[mzl+23];*;
2645;J1908+0457;zcwl96;19:08:16.15;1.0e-01;zcwl96;+04:57:41;2.0e+00;zcwl96;*;0;*;*;0;*;49079.50;*;*;*;*;*;
2646;J1908+0500;nft95;19:08:05.162;1.0e-02;cn95;+05:00:54.45;1.6e-01;cn95;*;0;*;*;0;*;49079.50;*;*;*;*;*;
2647;J1908+0558;lbh+15;19:08:01.997;6.0e-03;psf+22;+05:58:33.94;1.8e-01;psf+22;*;0;*;*;0;*;57632.00;*;*;*;*;*;
2648;J1908+0734;nft95;19:08:17.010;3.0e-03;cn95;+07:34:14.36;1.1e-01;cn95;*;0;*;*;0;*;49079.50;*;*;*;*;*;
2649;J1908+0811g;hww+21;19:08:44;6.0e+00;hww+21;+08:11;2.0e+00;hww+21;*;0;*;*;0;*;*;*;*;*;*;*;
2650;J1908+0833;lsb+17;19:08:20.960;1.6e-02;lsb+17;+08:33:31.5;5.0e-01;lsb+17;*;0;*;*;0;*;56700.00;*;*;*;*;*;
2651;J1908+0839;mhl+02;19:08:18.51;4.0e-02;mhl+02;+08:39:59.2;1.2e+00;mhl+02;*;0;*;*;0;*;51550.00;*;*;*;*;*;
2652;J1908+0909;mhl+02;19:08:07.437;1.3e-02;mhl+02;+09:09:12.4;5.0e-01;mhl+02;*;0;*;*;0;*;51525.00;*;*;*;*;*;
2653;J1908+0916;ht75b;19:08:58.76;6.0e-02;gr78;+09:16:14;1.0e+00;gr78;*;0;*;*;0;*;42832.50;*;*;*;*;*;
2654;J1908+0949g;hww+21;19:08:08;6.0e+00;hww+21;+09:49;2.0e+00;hww+21;*;0;*;*;0;*;*;*;*;*;*;*;
2655;J1908+1035g;hww+21;19:08:23;6.0e+00;hww+21;+10:35;2.0e+00;hww+21;*;0;*;*;0;*;*;*;*;*;*;*;
2656;J1908+1351;psf+22;19:08:35.31;4.0e-02;psf+22;+13:51:40;1.0e+00;psf+22;*;0;*;*;0;*;58489.00;*;*;*;*;*;
2657;J1908+2105;cck+16;19:08:57.2940;3.0e-04;drc+21;+21:05:02.726;6.0e-03;drc+21;*;0;*;*;0;*;56930.00;*;ELL1;drc+21;UL[cck+16];*;
2658;J1908+2351;lwf+04;19:08:31.94;7.0e-02;lwf+04;+23:51:41.9;8.0e-01;lwf+04;*;0;*;*;0;*;51561.00;*;*;*;*;*;
2659;J1909+0007;dls73;19:09:35.257;2.0e-03;hlk+04;+00:07:57.77;1.1e-01;hlk+04;5;3.0e+00;jbv+19;-32;7.0e+00;jbv+19;48740.00;hlk+04;*;*;*;*;
2660;J1909+0254;dls72;19:09:38.310;2.8e-03;hlk+04;+02:54:50.67;1.1e-01;hlk+04;*;0;*;*;0;*;49695.00;hlk+04;*;*;*;*;
2661;J1909+0616;mhl+02;19:09:51.21;4.0e-02;mhl+02;+06:16:51.8;2.0e+00;mhl+02;*;0;*;*;0;*;51720.00;*;*;*;*;*;
2662;J1909+0641;dcm+09;19:09:29.052;4.0e-03;nab+13;+06:41:25.8;2.0e-01;nab+13;*;0;*;*;0;*;54870.00;*;*;*;*;*;
2663;J1909+0657g;hww+21;19:09:14;6.0e+00;hww+21;+06:57;2.0e+00;hww+21;*;0;*;*;0;*;*;*;*;*;*;*;
2664;J1909+0749;nab+13;19:09:08.2;2.0e-01;nab+13;+07:49:32;5.0e+00;nab+13;*;0;*;*;0;*;54870.00;*;*;*;*;*;
2665;J1909+0905g;hww+21;19:09:39;6.0e+00;hww+21;+09:05;2.0e+00;hww+21;*;0;*;*;0;*;*;*;*;*;*;*;
2666;J1909+0912;mhl+02;19:09:19.91;5.0e-02;mhl+02;+09:12:53.7;1.7e+00;mhl+02;*;0;*;*;0;*;51496.00;*;*;*;*;*;
2667;J1909+0930g;hww+21;19:09:47;6.0e+00;hww+21;+09:30;2.0e+00;hww+21;*;0;*;*;0;*;*;*;*;*;*;*;
2668;J1909+1102;dls73;19:09:48.6829;9.0e-04;lbs+20;+11:02:03.044;3.0e-03;lbs+20;-8;4.9e+00;*;5;7.5e+00;*;57600;lbs+20;*;*;*;*;
2669;J1909+1132g;hww+21;19:09:37;6.0e+00;hww+21;+11:32;2.0e+00;hww+21;*;0;*;*;0;*;*;*;*;*;*;*;
2670;J1909+1148;lbh+15;19:09:31.379;3.0e-03;lsb+17;+11:48:59.86;8.0e-02;lsb+17;*;0;*;*;0;*;56700.00;*;*;*;*;*;
2671;J1909+1205;psf+22;19:09:51.47;5.0e-02;psf+22;+12:05:47;2.0e+00;psf+22;*;0;*;*;0;*;55897.00;*;*;*;*;*;
2672;J1909+1450;nft95;19:09:26.96;8.0e-02;cn95;+14:50:58;2.0e+00;cn95;*;0;*;*;0;*;49079.50;*;*;*;*;*;
2673;J1909+1859;nft95;19:09:18.604;8.0e-03;cn95;+18:59:10.74;1.1e-01;cn95;*;0;*;*;0;*;49079.50;*;*;*;*;*;
2674;J1909-3744;jbv+03;19:09:47.4322832;2.8e-07;rsc+21;-37:44:14.583740;1.1e-05;rsc+21;-9.5141;7.9e-04;*;-35.777;3.0e-03;*;55635;rsc+21;T2;rsc+21;He[jhb+05];*;
2675;J1910-0112;lfl+06;19:10:15.7;4.0e-01;lfl+06;-01:12:06;1.4e+01;lfl+06;*;0;*;*;0;*;53174.00;*;*;*;*;*;
2676;J1910+0225;hfs+04;19:10:10.359;1.7e-02;hfs+04;+02:25:23.6;5.0e-01;hfs+04;*;0;*;*;0;*;52586.00;*;*;*;*;*;
2677;J1910-0309;mlt+78;19:10:29.692;2.0e-03;lbs+20;-03:09:54.1;1.0e-01;lbs+20;*;0;*;*;0;*;57600;lbs+20;*;*;*;*;
2678;J1910+0358;mb75;19:10:09.06;2.7e-02;hlk+04;+03:58:28.0;1.1e+00;hlk+04;*;0;*;*;0;*;50026.00;hlk+04;*;*;*;*;
2679;J1910+0435;psf+22;19:10:11.072;6.0e-03;psf+22;+04:35:29.5;2.0e-01;psf+22;*;0;*;*;0;*;57862.00;*;*;*;*;*;
2680;J1910+0517;lsf+17;19:10:37.907;1.4e-02;lsf+17;+5:17:56.1;5.0e-01;lsf+17;*;0;*;*;0;*;56700.00;*;*;*;*;*;
2681;J1910+0534;mhl+02;19:10:26.51;9.0e-02;mhl+02;+05:34:09;4.0e+00;mhl+02;*;0;*;*;0;*;51709.00;*;*;*;*;*;
2682;J1910-0556;sfj+20;19:10:16.523;7.0e-03;sfj+20;-05:56:29.9;4.0e-01;sfj+20;*;0;*;*;0;*;57325;sfj+20;*;*;*;*;
2683;J1910+0710;psf+22;19:10:13.873;1.5e-02;psf+22;+07:10:46.4;5.0e-01;psf+22;*;0;*;*;0;*;57671.00;*;*;*;*;*;
2684;J1910+0714;nft95;19:10:18.597;1.6e-02;cn95;+07:14:11.8;5.0e-01;cn95;*;0;*;*;0;*;49079.50;*;*;*;*;*;
2685;J1910+0728;hfs+04;19:10:22.079;6.0e-03;hfs+04;+07:28:37.09;1.5e-01;hfs+04;*;0;*;*;0;*;52187.00;*;*;*;*;*;
2686;J1910+1017;psf+22;19:10:26.124;2.0e-03;psf+22;+10:17:54.09;6.0e-02;psf+22;*;0;*;*;0;*;55938.00;*;*;*;*;*;
2687;J1910+1026;lbh+15;19:10:48.753;9.0e-03;psf+22;+10:26:52.5;5.0e-01;psf+22;*;0;*;*;0;*;56334.00;*;*;*;*;*;
2688;J1910+1054g;hww+21;19:10:01;6.0e+00;hww+21;+10:54;2.0e+00;hww+21;*;0;*;*;0;*;*;*;*;*;*;*;
2689;J1910+1117g;hww+21;19:10:27;6.0e+00;hww+21;+11:17;2.0e+00;hww+21;*;0;*;*;0;*;*;*;*;*;*;*;
2690;J1910+1231;ht75b;19:10:13.53;3.7e-02;hlk+04;+12:31:40.2;1.4e+00;hlk+04;*;0;*;*;0;*;48741.00;hlk+04;*;*;*;*;
2691;J1910+1256;fsk+04;19:10:09.701495;4.1e-06;aab+21a;+12:56:25.45385;1.1e-04;aab+21a;0.26;3.1e-02;*;-7.14;5.0e-02;*;56398.00;aab+21a;DD;aab+21a;He[gsf+11];*;
2692;J1910+56;scb+19;19:10:42;2.4e+01;scb+19;+56:55;3.0e+00;scb+19;*;0;*;*;0;*;*;*;*;*;*;*;
2693;J1910-5959A;dlm+01;19:11:42.75562;3.0e-05;cbp+12;-59:58:26.9029;3.0e-04;cbp+12;-3.161;2.2e-02;vb21;-4.027;2.2e-02;vb21;51920.00;*;DD;cbp+12;He[cfpd06];*;
2694;J1910-5959B;dpf+02;19:10:52.0556;5.0e-04;cpl+06;-59:59:00.861;6.0e-03;cpl+06;-3.161;2.2e-02;vb21;-4.027;2.2e-02;vb21;52000.00;*;*;*;*;*;
2695;J1910-5959C;dpf+02;19:11:05.5552;4.0e-04;cpl+06;-60:00:59.700;4.0e-03;cpl+06;-3.161;2.2e-02;vb21;-4.027;2.2e-02;vb21;51910.00;*;*;*;*;*;
2696;J1910-5959D;dpf+02;19:10:52.4163;5.0e-04;cpl+06;-59:59:05.479;5.0e-03;cpl+06;-3.161;2.2e-02;vb21;-4.027;2.2e-02;vb21;51910.00;*;*;*;*;*;
2697;J1910-5959E;dpf+02;19:10:52.1572;6.0e-04;cpl+06;-59:59:02.087;7.0e-03;cpl+06;-3.161;2.2e-02;vb21;-4.027;2.2e-02;vb21;51910.00;*;*;*;*;*;
2698;J1910-5959F;rgf+21;19:10:52.066;3.0e-03;rgf+21;-59:59:09.30;3.0e-02;rgf+21;-3.161;2.2e-02;vb21;-4.027;2.2e-02;vb21;58700;rgf+21;*;*;*;*;
2699;J1911+00;mll+06;19:11:48;2.9e+01;kkl+11;+00:37;7.0e+00;kkl+11;*;0;*;*;0;*;52318.00;*;*;*;*;*;
2700;J1911+0101A;dma+93;19:11:11.08957;4.0e-05;fhn+05;+01:02:09.741;2.0e-03;fhn+05;-1.107;2.6e-02;vb21;-3.615;2.6e-02;vb21;53000.00;*;ELL1;fhn+05;UL[fhn+05];*;
2701;J1911+0101B;fhn+05;19:11:12.5725;4.0e-04;fhn+05;+01:01:50.44;2.0e-02;fhn+05;-1.107;2.6e-02;vb21;-3.615;2.6e-02;vb21;53000.00;*;*;*;*;*;
2702;J1911+0751g;hww+21;19:11:43;6.0e+00;hww+21;+07:51;2.0e+00;hww+21;*;0;*;*;0;*;*;*;*;*;*;*;
2703;J1911+0921;lbh+15;19:11:46.487;9.0e-03;psf+22;+09:21:56.8;3.0e-01;psf+22;*;0;*;*;0;*;56041.00;*;*;*;*;*;
2704;J1911+0925;psf+22;19:11:59.472;1.2e-02;psf+22;+09:25:32.2;6.0e-01;psf+22;*;0;*;*;0;*;55982.00;*;*;*;*;*;
2705;J1911+0939g;hww+21;19:11:38;6.0e+00;hww+21;+09:39;2.0e+00;hww+21;*;0;*;*;0;*;*;*;*;*;*;*;
2706;J1911+1051;lbh+15;19:11:42.262;8.0e-03;psf+22;+10:51:26.74;1.6e-01;psf+22;*;0;*;*;0;*;56578.00;*;*;*;*;*;
2707;J1911-1114;llb+96;19:11:49.28233;3.0e-05;dcl+16;-11:14:22.481;3.0e-03;dcl+16;-13.75;1.6e-01;dcl+16;-9.1;1.0e+00;dcl+16;55000.00;*;ELL1;dcl+16;He[llb+96];*;
2708;J1911+1252g;hww+21;19:11:28;6.0e+00;hww+21;+12:52;2.0e+00;hww+21;*;0;*;*;0;*;*;*;*;*;*;*;
2709;J1911+1301;psf+22;19:11:31.739;9.0e-03;psf+22;+13:01:26.6;3.0e-01;psf+22;*;0;*;*;0;*;57915.00;*;*;*;*;*;
2710;J1911+1336;psf+22;19:11:59.541;3.0e-03;psf+22;+13:36:55.00;7.0e-02;psf+22;*;0;*;*;0;*;58410.00;*;*;*;*;*;
2711;J1911+1347;fsk+04;19:11:55.2034741;1.4e-06;aab+21a;+13:47:34.35584;3.2e-05;aab+21a;-2.944;1.9e-02;*;-3.71;3.0e-02;*;57206.00;aab+21a;*;*;*;*;
2712;J1911+1758;nft95;19:11:55.390;6.0e-03;cn95;+17:58:45.79;1.1e-01;cn95;*;0;*;*;0;*;49079.50;*;*;*;*;*;
2713;J1912+0934g;hww+21;19:12:41;6.0e+00;hww+21;+09:34;2.0e+00;hww+21;*;0;*;*;0;*;*;*;*;*;*;*;
2714;J1912-0952;mzl+23;19:12:12.2482;3.0e-04;mzl+23;-09:52:51.748;1.6e-02;mzl+23;*;0;*;*;0;*;58679.66;*;ELL1;mzl+23;He[mzl+23];*;
2715;J1912+1036;ht75b;19:12:46.33;1.0e-02;lcx02;+10:36:41.6;3.0e-01;lcx02;*;0;*;*;0;*;51600.00;*;*;*;*;*;
2716;J1912+1105g;hww+21;19:12:26;6.0e+00;hww+21;+11:05;2.0e+00;hww+21;*;0;*;*;0;*;*;*;*;*;*;*;
