76;J0324+5239;03:24:55.46;4.0e-02;+52:39:31.3;2.0e-01;*;0;*;0;56100.00;115.4636
77;J0325+6744;03:25:05.11;2.1e-02;+67:44:59.39;1.1e-01;*;0;*;0;56500.00;65.28
78;J0332+5434;03:32:59.4096;1.0e-04;+54:34:43.329;1.0e-03;16.97;3.0e-02;-10.37;5.0e-02;56000.00;26.7641
79;J0335+4555;03:35:16.6416;1.0e-04;+45:55:53.452;1.0e-03;-3.66;5.0e-02;-0.08;1.2e-01;56000.00;47.14571
80;J0337+1715;03:37:43.82589;1.3e-04;+17:15:14.828;2.0e-03;4.81;4.9e-01;-4.42;4.2e-01;55920.00;21.3162
81;J0340+4130;03:40:23.287961;1.1e-05;+41:30:45.2911;2.8e-04;-0.53;1.1e-01;-3.3;2.9e-01;56675.00;49.5865
82;J0341+5711;03:41;0;+57:11;0;*;0;*;0;54100.00;101.0
83;J0343-3000;03:43:27.94;3.0e-02;-30:00:27.5;4.0e-01;*;0;*;0;52950.00;20.2
84;J0343+5312;03:43:12.90;4.1e-02;+53:12:53.4;6.3e-01;*;0;*;0;49309.00;67.30
85;J0344-0901;03:44:37.471;2.0e-03;-09:01:02.66;1.0e-01;*;0;*;0;58393.00;30.9
86;J0348+0432;03:48:43.639000;4.0e-06;+04:32:11.4580;2.0e-04;+4.04;1.6e-01;+3.5;6.0e-01;56000.00;40.46313
87;J0357+5236;03:57:44.8403;2.0e-04;+52:36:57.493;1.0e-03;13.88;9.0e-02;-10.61;8.0e-02;56000.00;103.706
88;J0358+4155;03:58:03.1746;1.2e-03;+41:55:19.03;2.1e-02;*;0;*;0;56500.00;46.325
89;J0358+5413;03:58:53.7238;2.0e-04;+54:13:13.784;3.0e-03;9.3;5.0e-01;8.3;8.0e-01;54096;57.1420
90;J0358+6627;03:58:37.929;3.4e-03;+66:27:46.57;2.2e-02;*;0;*;0;56500.00;62.33
91;J0359+5414;03:59:26.01;2.0e-02;+54:14:55.7;3.0e-01;*;0;*;0;55716;*
92;J0401-7608;04:01:51.75;1.0e-02;-76:08:12.95;5.0e-02;*;0;*;0;57600;21.7
93;J0402+4825;04:02:40.633;9.0e-03;+48:25:57.51;7.0e-02;*;0;*;0;58650.00;85.7
94;J0406+6138;04:06:30.0806;2.0e-04;+61:38:41.408;1.0e-03;12.4;1.0e-01;22.74;8.0e-02;56000.00;65.4053
95;J0407+1607;04:07:54.939;3.0e-03;+16:07:16.4;2.0e-01;*;0;*;0;52799.00;35.593
