Companion Pulsar;source_id;ra;ra_error;dec;dec_error;parallax;parallax_error;pmra;pmra_error;pmdec;pmdec_error;ra_dec_corr;ra_parallax_corr;ra_pmra_corr;ra_pmdec_corr;phot_g_mean_mag;lum_val;lum_percentile_lower;lum_percentile_upper
J1431-4715;6098156298150016768;217.935889003912;0.11907236770321544;-47.25767349881345;0.12457358417387104;0.6361739619198208;0.16762066451653748;-12.012694641237367;0.3342516110478781;-14.506232899239858;0.2627628797750598;4.4971780880587175e-05;-0.2356441169977188;-0.4268283247947693;-0.34272152185440063;17.749652862548828;;;
J1536-4948;5985598266373074048;234.09690984542357;0.04012287780931335;-49.81535802348001;0.028051617837626067;0.09811829617314169;0.04841140009705161;-7.4231784993902785;0.10153701294974132;-4.699922593032123;0.08089937801839929;-0.058829519897699356;-0.026063963770866394;-0.28242093324661255;-0.08858761191368103;16.100723266601562;;;
J1543-5149;5886130706408285696;235.9342217994287;0.285803480931153;-51.83190811877263;0.18350066518348002;0.22604871010769972;0.36370859755521634;-2.097925680181523;1.0240755428982256;-3.049072728834819;0.6643509541382515;-0.03577379137277603;0.05499492585659027;-0.03585483506321907;-0.006477056536823511;19.177637100219727;;;
J1622-0315;4358428942492430336;245.74844665575327;0.4979019617695542;-3.2603520731339724;0.28967364857945294;0.4079351855932633;0.5188768793282612;-13.056145625051904;1.0424659903026368;2.9570730724167964;0.6801338353192935;-0.029256165027618408;0.1764613389968872;-0.49568119645118713;-0.6192761063575745;19.27182388305664;;;
J1653-0158;4379227476242700928;253.40855755311765;0.7610389865192508;-1.9769147315554967;0.5108599698576186;1.8752087994359783;1.011762665901311;-19.62447898082188;1.8600972365840243;-3.7436643590509555;1.1197043821050647;0.011851980350911617;0.11801458895206451;-0.16222694516181946;-0.127299502491951;20.504045486450195;;;
J1723-2837;4059795674516044800;260.84658305999614;0.04376627228334404;-28.63266198102023;0.038822453011902514;1.0768517223148573;0.05464671824992103;-11.71273854017002;0.08213873385916862;-23.989614572688957;0.062026935895591176;0.17958727478981018;-0.2397834062576294;-0.1835096776485443;-0.24208608269691467;15.54909896850586;0.5300711989402771;0.4716475009918213;0.5884948968887329
J1816+4510;2115337192179377792;274.149725907162;0.12918561517502425;45.176069256269834;0.15067981121264623;0.22034905809566888;0.1536852605548087;-0.16561184483283473;0.29037313099295814;-4.41653767603461;0.33175398761848035;-0.07800720632076263;0.00556009728461504;-0.015393843874335289;-0.1485423743724823;18.220815658569336;;;
J1955+2908;2028584968839606784;298.8661014556139;0.12551934244650145;29.145382749943387;0.1655115479444439;0.6033986748146738;0.19424221348429857;-3.092116051381825;0.29028459128335166;-7.962991888038062;0.3232021345818887;-0.11264485865831375;-0.06952980160713196;-0.05790756270289421;-0.02830658294260502;18.712047576904297;;;
J1959+2048;1823773960079216896;299.90309565270053;0.7308510230961263;20.804023603726815;0.8397368761394476;-0.6155926470014295;1.6324824160726337;-19.151763476820484;1.2634916688787046;-23.482616449706182;1.9498582508496196;-0.10109978914260864;0.49010002613067627;-0.4000645875930786;-0.2796516716480255;20.295909881591797;;;
J2032+4127;2067835682818358400;308.05466989702353;0.022523484357582613;41.456758957684634;0.030612247484350118;0.6933443212027847;0.03377534775786229;-2.9906330250027575;0.04837746871587539;-0.7420546525616988;0.05528731029698866;-0.06233282759785652;-0.009848249144852161;-0.19097290933132172;-0.04988411068916321;11.361125946044922;61.425540924072266;56.78211212158203;66.0689697265625
